Name,RA,DEC,Vmag,Sp.Type,dist (pc),ObsDate
"HIP16445","3 31 47.1 ","14 19 6 ","12.2","M3","23.9",""
"HIP16499","3 32 26.1 ","46 3 23 ","5.30","F4IIIvar","36.4",""
"GJ144","3 32 54.7 ","-9 27 29 ","3.73","K2.0V","3.21","03/05/2016"
"HIP16641","3 34 8.48 ","17 49 53 ","6.14","K1IVe...","42.4",""
"HIP16846","3 36 47.2 ","0 35 13 ","5.82","G5IV/V +K1IV","28.9","03/05/2016"
"HIP16852","3 36 52.1 ","0 23 58 ","4.29","F9V","13.7",""
"HIP17027","3 39 1.10 ","-5 37 37 ","5.97","K1V","35.1","05/15/2016"
"HIP17147","3 40 22.8 ","-3 13 4 ","6.68","F9V","24.3","05/15/2016"
"HIP17183","3 40 47.8 ","-2 20 1 ","6.96","G5","44.8",""
"HIP17207","3 41 10.4 ","3 36 37 ","9.61","Mp","25.0",""
"HIP17265","3 41 52.3 ","-10 41 56 ","8.25","G0","29.4",""
"HIP17336","3 42 36.7 ","17 17 37 ","7.07","G0","25.8",""
"HIP17378","3 43 14.8 ","-9 45 36 ","3.52","K0IV","9.04","05/15/2016"
"HIP17395","3 43 33.8 ","-10 29 8 ","5.59","A5m","42.9","05/15/2016"
"HIP17405","3 43 45.4 ","16 39 57 ","10.8","M1","16.2",""
"HIP17414","3 43 52.7 ","16 40 14 ","9.99","M2","17.2",""
"HIP17420","3 43 55.6 ","-19 6 36 ","7.10","K2V","14.0",""
"HIP17458","3 44 31.2 ","34 58 20 ","10.6","M0","25.9",""
"HIP17491","3 44 49.2 ","46 2 7 ","7.72","K2","26.6",""
"HIP17496","3 44 51.4 ","11 55 14 ","9.13","K8V:","21.8",""
"HIP17609","3 46 20.6 ","26 12 52 ","9.61","K5","14.5",""
"HIP17666","3 47 2.97 ","41 25 18 ","7.67","K1V","24.4",""
"HIP17695","3 47 23.5 ","-1 58 24 ","11.5","","16.2",""
"HIP17743","3 47 57.6 ","2 47 9 ","11.0","M0V:","17.3",""
"HIP17749","3 48 1.40 ","68 40 26 ","9.17","K0","17.3",""
"HIP18090","3 52 0.33 ","39 47 43 ","9.47","K5","33.8",""
"HIP18097","3 52 5.84 ","22 40 12 ","7.57","G0","26.8",""
"HIP18170","3 53 10.2 ","17 19 37 ","5.97","F4V","41.4",""
"HIP18267","3 54 28.2 ","16 36 55 ","6.81","G0","20.6",""
"HIP18280","3 54 35.4 ","-6 49 25 ","9.02","M0V","15.4","06/04/2016"
"HIP18324","3 55 4.81 ","61 9 56 ","7.84","K0V","21.2","02/03/2016"
"HIP18413","3 56 10.9 ","59 38 33 ","6.53","G0","21.3","02/03/2016"
"HIP18471","3 56 52.1 ","22 28 38 ","5.62","F2IV","44.8",""
"HIP18512","3 57 28.5 ","-1 9 36 ","8.07","K4V","15.7","02/10/2016"
"HIP18606","3 58 52.3 ","-5 28 14 ","5.85","G9V","43.7",""
"HIP18735","4 0 48.9 ","18 11 37 ","5.89","F4V...","45.4",""
"HIP18774","4 1 21.1 ","76 9 24 ","8.20","K4V","15.9","02/03/2016"
"HIP18859","4 2 36.9 ","-0 16 12 ","5.38","F5V","19.2","02/10/2016"
"HIP18907","4 3 9.38 ","5 59 21 ","3.91","A1V","39.6","02/10/2016"
